IATA;nom de la compagnie;Nom complet;poid cabine;Taille du bagage à main;taille soute;Poids max. autorisé des bagages en soute; Services à bord;WIFI;Alliance;numéro de téléphone;Site Web;Nationalité;Aéroport de base;Siège Social ;Date de création;fin d'activité;PONCTUALITÉ momondo;VOLS RETARDÉS momondo;VOLS ANNULÉS momondo;Age moyen de la flotte;taille de la flotte;programme de fidelité;avion 1;quantité 1;avion 2;quantité 2;avion 3;quantité 3;avion 4;quantité 4;avion 5;quantité 5;avion 6;quantité 6;avion 7;quantité 7;avion 8;quantité 8;avion 9;quantité 9;avion 10;quantité 10;avion 11;quantité 11;avion 12;quantité 12;avion 13;quantité 13;avion 14;quantité 14;avion 15;quantité 15
4O;Interjet;ABC Aerolineas S.A. de C.V. ;10kgs;56cm x 45cm x 25cm ;;;  ;NON;;01 800 01 12345;interjet.com.mx;;Toluca - International (TLC) ;;2005;;;;;5.7 ;48;; Airbus A320-200 ;41; Sukhoi Superjet 100 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;
4Q;Safi Airways;;;;;;  ;NON;;;;;;;38961;;;;;18.4 ;5;; Airbus A319-100 ;2; Airbus A320-200 ;1; Boeing 757-200 ;1; Boeing 767-200 ;1;;;;;;;;;;;;;;;;;;;;;;
4R;Royal Flight;;;;;;  ;NON;;;;;;;2013;;;;;15.4 ;6;; Boeing 737-800 ;1; Boeing 757-200 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;
4T;Belair;;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4U;germanwings;;8 kg;55 x 40 x 20 cm;;23 kg; Tous les services sont payants  ;NON;;0892 39 01 58;eurowings.com;Allemagne;Cologne/Bonn (CGN) ;Cologne;37556;;;;;6.5 ;32;Boomerang Club ; Airbus A319-100 ;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4Z;Airlink;SA Airlink (Pty) Ltd ;;;;;  ;NON;;+27 11 451 7300;flyairlink.com;;;;1995;;;;;17;37;; British Aerospace Avro RJ85 ;12; British Aerospace Jetstream 41 ;7; Embraer ERJ-135 ;16; Embraer ERJ-145 ;2;;;;;;;;;;;;;;;;;;;;;;
5D;Aeroméxico Connect;Aerolitoral, S.A. de C.V. ;;;;;  ;NON;;;;;;;1988;;;;;9.5 ;66;; Embraer ERJ-145 ;22; Embraer ERJ-170 ;11; Embraer ERJ-175 ;3; Embraer ERJ-190 ;30;;;;;;;;;;;;;;;;;;;;;;
5H;Fly540;Five Forty Aviation Ltd ;;20kg;;20 kg;  ;NON;;+254 20 4453252;fly540.com;Kenya;Aéroport International Jomo Kenyatta;Kenya Nairobi;2006;;;;;23.6 ;11;; ATR 42/72-ATR 72 ;4; Canadair CRJ-100 ;3; De-Havilland-Canada DHC-8-100 ;2; McDonnell-Douglas DC-9-10 ;2;;;;;;;;;;;;;;;;;;;;;;
5J;Cebu Pacific;Cebu Air Inc. ;7kgs;56cm x 36cm x 23cm ;;40 kg;  ;NON;Value Alliance;+63 2 70 20 888;cebupacificair.com;Philippines;Manille (MNL) ;Manille;;;;;;3.8 ;41;; Airbus A319-100 ;10; Airbus A320-200 ;22; ATR 42/72-ATR 72 ;8;;;;;;;;;;;;;;;;;;;;;;;;
5K;Sky King;Sky King, Inc. ;;;;;  ;NON;;;;;;;33055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5N;Nordavia;Nordavia Regional Airlines ;;;;;  ;NON;;+7 800 200 00 55;nordavia.ru;;Moscou - Cheremetievo (SVO) ;;40148;;;;;22.5 ;10;; Boeing 737-500 ;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5O;ASL Airlines France;ASL Airlines (France) ;5 kg;115 cm cumulés;;30 kg;  ;NON;;;aslairlines.com;France;Aéroport de Paris-Charles-de-Gaulle;93290 Tremblay-en-France, France;1991;;;;;20.9 ;15;; Boeing 737-300 ;7; Boeing 737-400 ;4; Boeing 737-700 ;4;;;;;;;;;;;;;;;;;;;;;;;;
5Q;BQB Lineas Aereas;;;;;;  ;NON;;;;;;;;;;;;10.5 ;4;; ATR 42/72-ATR 72 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5T;Canadian North;Air Norterra, Inc. ;;;;;  ;NON;;18678734484;canadiannorth.com;;;;32752;;;;;23.8 ;20;; Boeing 737-200 ;6; Boeing 737-300 ;10; De Havilland Canada DHC-8-100 ;4;;;;;;;;;;;;;;;;;;;;;;;;
5W;Iceland Express;;10 kg;55 x 35 x 25 cm;66 x 66 x 25 cm;20 kg; Tous les services sont payants  ;NON;;;;;Reykjavik - Keflavik (KEF) ;;37679;;;;;6.2 ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6E;IndiGo;;7kgs;55cm x 40cm x 20cm ;;;  ;NON;;9,11244E+11;goindigo.in;;;;2005;;;;;2.6 ;78;; Airbus A320-200 ;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6F;Primera Air Nordic;;;;;;  ;NON;;-66932229;primeraair.com;;;;41913;;;;;13.4 ;;; Boeing 737-700 ;2; Boeing 737-800 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;
6H;Israir Airlines;;8 kg;50 x 40 x 20 cm;;20 kg;  ;NON;;;israirairlines.com;Israël;Aéroport Ben Gurion International;Tel Aviv, Israel;;;;;;3.5 ;4;; Airbus A320-200 ;2; ATR 42/72-ATR 72 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
6I;Air Alsie;;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6R;Alrosa Avia;;;;;;  ;NON;;5,25558E+11;aerounion.com.mx;;;;1992;;;;;12.1 ;3;; Boeing 737-800 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6U;ACG Air Cargo Germany;ACG Air Cargo Germany GmbH ;;;;;  ;NON;;;;;;;39600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6Y;SmartLynx Estonia;;;;;;  ;NON;;37167207392;smart-lynx.com;;;;;;;;;17;3;; Airbus A320-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7C;Jeju Air;;;;;;  ;NON;;+82 1599-1500;jejuair.net;;;;38353;;;;;11;22;; Boeing 737-800 ;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7F;First Air;Bradley Air Services Ltd ;;;;;  ;NON;;18002671247;firstair.ca;;;;1946;;;;;26.5 ;20;; ATR 42/72-ATR 42 ;12; Boeing 737-200 ;4; Boeing 737-400 ;4;;;;;;;;;;;;;;;;;;;;;;;;
7G;Starflyer;________ ;;;;;  ;NON;;+81 3 5641 1489;starflyer.jp;;;;37607;;;;;3.2 ;9;; Airbus A320-200 ;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7I;Insel Air;Insel Air International B.V. ;;55 x 35 x 20 cm;;20 kg;  ;NON;;+599 9 888 0444;fly-inselair.com;Antilles néerlandaises;Aéroport international Hato;Willemstad, Curaçao;34220;;;;;25.1 ;9;; Fokker F50 ;3; McDonnell-Douglas MD-82 ;3; McDonnell-Douglas MD-83 ;3;;;;;;;;;;;;;;;;;;;;;;;;
7J;Tajik Air;;;;;;  ;NON;;;tajikair.tj;;;;9013;;;;;21.4 ;8;; Boeing 737-300 ;1; Boeing 737-400 ;2; Boeing 737-500 ;2; Boeing 757-200 ;3;;;;;;;;;;;;;;;;;;;;;;
7K;Metrojet;Kogalymavia ;;;;;  ;NON;;;;;;;1993;;;;;17.1 ;4;; Airbus A321-200 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7M;Mistral Air;Mistral Air srl ;7 kg;115 cm cumulés;;15 kg;  ;NON;;1,19989E+11;mayair.com.mx;;;;1981;;;;;17.7 ;8;; ATR 42/72-ATR 72 ;5; Boeing 737-300 ;2; Boeing 737-400 ;1;;;;;;;;;;;;;;;;;;;;;;;;
7W;Wind Rose Aviation;Wind Rose Aviation Company Ltd. ;;;;;  ;NON;;+38 44 498 77 77;windrose.aero;;;;2007;;;;;16.2 ;9;; Airbus A320-200 ;2; Airbus A321-200 ;5; Airbus A330-200 ;1; McDonnell-Douglas MD-82 ;1;;;;;;;;;;;;;;;;;;;;;;
8A;Atlas Blue;;;;;;;NON;;;;;Marrakech (RAK) ;;;40179;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8F;STP Airways;;;;;;  ;NON;;3,51218E+11;;;Sao Tome Is (TMS) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8I;Myair;My Way Airlines S.r.l. ;;;;;  ;NON;;;;;Milan - Bergame Orio al Serio (BGY) ;;2004;40018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8J;Jet4you;;;;;20 kg; Tous les services sont payants  ;NON;;+591 901 10 50 55;ecojet.bo;;Marrakech (RAK) ;;;;;;;7.5 ;3;; Boeing 737-800 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8L;Lucky Air;;;;;;  ;NON;;;luckyair.net;;;;38709;;;;;6.9 ;20;; Airbus A319-100 ;3; Airbus A320-200 ;4; Boeing 737-700 ;9; Boeing 737-800 ;4;;;;;;;;;;;;;;;;;;;;;;
8M;Myanmar Airways International;;;;;;  ;NON;;+95 1 255 260;maiair.com;;Rangoon (RGN) ;;34182;;;;;15.1 ;9;; Airbus A319-100 ;4; Airbus A320-200 ;4; ATR 42/72-ATR 72 ;1;;;;;;;;;;;;;;;;;;;;;;;;
8P;Pacific Coastal Airlines;;;;;;  ;NON;;18006632872;pacific-coastal.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Q;Onur Air;Onur Air Ta__mac_l_k A_ ;;25x45x56cm;;30 kg; Tous les services sont payants  ;NON;;;onurair.com.tr;Turquie;Istanbul - Atatürk (IST) ;Istanbul;1992;;;;;15.3 ;30;; Airbus A300-600 ;5; Airbus A320-200 ;11; Airbus A321-100 ;2; Airbus A321-200 ;7; Airbus A330-300 ;4;;;;;;;;;;;;;;;;;;;;
8R;SOL Lineas Aereas;;;;;;  ;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8U;Afriqiyah Airways;African Airlines Corporation ;;55 cm x 40 cm x 20 cm;;48 kg;  ;NON;;+218 21 444 97 34;afriqiyah.aero;Libye;Tripoli (TIP) ;Tripoli;36982;;;;;4.1 ;14;; Airbus A319-100 ;3; Airbus A320-200 ;7; Airbus A330-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;
9C;Spring Airlines;;;;;;  ;NON;;8,64008E+11;springairlines.com;;Shanghaï - Pudong (PVG) ;;2004;;;;;4.2 ;40;; Airbus A320-200 ;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9E;Endeavor Air;Endeavor Air, Inc. ;None;55cm x 40cm x 23cm ;;;  ;NON;;8002211212;endeavorair.com;;;;41487;;;;;3.1 ;117;; Canadair CRJ-200 ;36; Canadair CRJ-900 ;81;;;;;;;;;;;;;;;;;;;;;;;;;;
9K;Cape Air;;;;;;  ;NON;;18003520714;flycapeair.com;;;;;;;;;23.9 ;2;; ATR 42/72-ATR 42 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9M;Central Mountain Air;;;;;;  ;NON;;18888658585;flycma.com;;;;;;;;;23.2 ;3;; De-Havilland-Canada DHC-8-300 ;1; Dornier Do-328 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
9N;Tropicair;;7kgs;;;15 kg;  ;NON;;;tropicair.com;;San Pedro (SPR) ;;1979;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9P;Air Arabia Jordan;;;;;;  ;NON;;;;;;;42142;;;;;8.4 ;1;; Airbus A320-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9T;ACT Airlines;ACT Havayollari A.S. ;;;;;  ;NON;;;;;;;;;;;;19.3 ;7;; Boeing 747-400 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9U;Air Moldova;;;;;;  ;NON;;+373 22 830 830;airmoldova.md;;Chi_in_u (KIV) ;;1993;;;;;13.6 ;4;; Airbus A320-200 ;2; Embraer ERJ-190 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
9V;Avior Airlines;Aviones de Oriente C.A. ;;;;;  ;NON;;;avior.com.ve;;Barcelona (Jose A. Anzoategui) (BLA) ;;1994;;;;;28.1 ;11;; Boeing 737-200 ;8; Boeing 737-400 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
9W;Jet Airways;;8kgs;56cm x 45cm x 25cm ;;40 kg; Repas et boissons inclus  ;NON;;1 800 22 55 22;jetairways.com;Inde;Bombay (BOM) ;Bombay;33695;;0,74;0,09;0,01;6.2 ;100;Jet Privilege ; Airbus A330-200 ;11; ATR 42/72-ATR 72 ;20; Boeing 737-700 ;11; Boeing 737-800 ;46; Boeing 737-900 ;3; Boeing 777-300 ;9;;;;;;;;;;;;;;;;;;
A2;Astra Airlines;;;;;;  ;NON;;3,0231E+11;http://www.astra-airlines.gr/;;;;2008;;;;;24;6;; ATR 42/72-ATR 42 ;2; ATR 42/72-ATR 72 ;1; Airbus A320-200 ;1; British Aerospace 146-300 ;2;;;;;;;;;;;;;;;;;;;;;;
A3;Aegean Airlines;Aegean Airlines, S.A. ;8kgs;56cm x 45cm x 25cm ;;20kg; Repas et boissons inclus dans le billet  ;NON;Star Alliance;3,02106E+11;aegeanair.com;Grèce;Athènes (ATH) ;Athènes;36281;;;;;4.3 ;29;Miles & Bonus ; Airbus A319-100 ;3; Airbus A320-200 ;22; Airbus A321-200 ;4;;;;;;;;;;;;;;;;;;;;;;;;
A5;Hop;;12 kg;55 x 35 x 25 cm;158 cm cumulés;23 kg;  ;NON;;;hop.com;France;Paris - Orly (ORY) ;Rungis;2013;;0,81;0,08;0,02;;;Flying Blue ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A9;Airzena Georgian Airways;;8 kg;55 x 40 x 20 cm;158 cm cumulés;20kg;  ;NON;;;georgian-airways.com;Géorgie;Tbilissi (TBS) ;Tbilissi;38261;;;;;14.1 ;8;; Boeing 737-500 ;1; Boeing 737-700 ;2; Canadair CRJ-100 ;1; Canadair CRJ-200 ;4;;;;;;;;;;;;;;;;;;;;;;
AA;American Airlines;American Airlines, Inc. ;;56 x 35 x 23 cm;157 cm cumulés;23 kilos; Repas et boissons inclus dans le billet pour un vol de 4h minimum  ;OUI;OneWorld;33821980999;americanairlines.fr;Etats Unis;Dallas - Fort Worth International (DFW) ;Fort Worth Texas, Etats-Unis;10983;;0,71;0,09;0,04;15.1 ;622;AAdvantage ; Boeing 737-800 ;177; Boeing 757-200 ;118; Boeing 767-200 ;15; Boeing 767-300 ;58; Boeing 777-200 ;47; McDonnell-Douglas MD-82 ;117; McDonnell-Douglas MD-83 ;87;;;;;;;;;;;;;;;;
AB;Air Berlin;Air Berlin PLC & Co. Luftverkehrs KG ;10kgs;55cm x 40cm x 23cm  ;;23 kg;boissons sans alcool offertes.Sandwiches et en-cas distribués gratuitement pour les courts et moyens courriers.2 repas (1 chaud et 1 froid) gratuits pour les longs-courriers.  ;OUI;;0826 96 73 78;;Allemagne;Berlin - Tegel (TXL) ;Rickmansworth;1991;;;;;5.9 ;139;topbonus ; Airbus A319-100 ;9; Airbus A320-200 ;31; Airbus A321-200 ;12; Airbus A330-200 ;12; Airbus A330-300 ;2; Boeing 737-700 ;26; Boeing 737-800 ;35; De-Havilland-Canada DHC-8-400 ;10;;;;;;;;;;;;;;
AC;Air Canada;;10 kg;55 x 40 x 23 cm;203 cm cumulés;23 kgs; Repas et boissons inclus dans le billet  ;OUI;Star Alliance;825880881;aircanada.com;Canada;Toronto - Lester B. Pearson (YYZ) ;Montréal (Canada);13615;;0,67;0,1;0,03;14.6 ;204;Aeroplan ; Airbus A319-100 ;37; Airbus A320-200 ;36; Airbus A321-200 ;10; Airbus A330-300 ;8; Boeing 767-300 ;35; Boeing 777-200 ;6; Boeing 777-300 ;12; Embraer ERJ-175 ;15; Embraer ERJ-190 ;45;;;;;;;;;;;;
AD;Azul Linhas Aéreas Brasileiras;AZUL - Linhas Aereas Brasileiras S/A ;;;;23 kg; Repas et boissons inclus dans le billet  ;NON;;+55 11 8447 1756;voeazul.com.br;;São Paulo/Campinas - Viracopos, SP (VCP) ;;39573;;;;;8.4 ;57;; ATR 42/72-ATR 72 ;15; Embraer ERJ-190 ;10; Embraer ERJ-195 ;32;;;;;;;;;;;;;;;;;;;;;;;;
AE;Mandarin Airlines;;;;;;  ;NON;;+886 2 2717 1230;mandarin-airlines.com;;Taïpeh (TSA) ;;33390;;;;;6.2 ;8;; Embraer ERJ-190 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AF;Air France;Air France-KLM ;12 kg;55 x 35 x 25 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;OUI;Skyteam;33892702654;airfrance.fr;France;Paris - Charles;Tremblay-en-France;12334;;0,77;0,09;0,01;9.6 ;260;Flying Blue ; Airbus A318-100 ;18; Airbus A319-100 ;43; Airbus A320-200 ;62; Airbus A321-100 ;5; Airbus A321-200 ;20; Airbus A330-200 ;15; Airbus A340-300 ;13; Airbus A380-800 ;7; Boeing 747-400 ;11; Boeing 777-200 ;27; Boeing 777-300 ;37;;;;;;;;
AH;Air Algérie;Air Algérie SpA ;;Un bagage de 35 x 55 x 25 cm;;20 kg; Repas et boissons inclus dans le billet  ;NON;;47 03 74 00;airalgerie.dz;Algérie;Alger (ALG) ;1 place Maurice Audin, Alger, ALGÉRIE;17241;;0,58;0,16;;8.5 ;42;Air Algérie Plus ; Airbus A330-200 ;5; ATR 42/72-ATR 72 ;12; Boeing 737-600 ;5; Boeing 737-800 ;17; Boeing 767-300 ;3;;;;;;;;;;;;;;;;;;;;
AI;Air India;;8 kg;55 x 40 x 20 cm;158 cm cumulés;20 kg; Repas et boissons inclus dans le billet  ;NON;Star Alliance;18001801407;airindia.in;;Bombay (BOM) ;;1932;;;;;9.4 ;104;Flying Returns ; Airbus A310-300 ;3; Airbus A319-100 ;24; Airbus A320-200 ;30; Airbus A321-200 ;20; Airbus A330-200 ;2; Boeing 747-400 ;5; Boeing 777-200 ;8; Boeing 777-300 ;12;;;;;;;;;;;;;;
AK;Air Asia;;;56cm x 36cm x 23cm;;20 kg; Tous les services à bord sont payants  ;OUI;;33170480722;airasia.com;Malaisie;Kuala Lumpur - International (KUL) ;Kuala Lampur;35387;;;;;4;58;; Airbus A320-200 ;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL;Transaviaexport Cargo Airline;;;;;;  ;NON;;;;;;;;;;;;26.5 ;1;; Boeing 747-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;Aeromexico;Aerovías de México, S.A. de C.V. ;10kgs;56cm x 36cm x 23cm ;;32 kg; Repas et boissons inclus dans le billet  ;OUI;Skyteam;800916754;aeromexico.com;Mexique;Mexico - International (MEX) ;Mexico;12677;;;;;9.5 ;55;Club Premier ; Boeing 737-700 ;31; Boeing 737-800 ;12; Boeing 767-200 ;6; Boeing 767-300 ;2; Boeing 777-200 ;4;;;;;;;;;;;;;;;;;;;;
AO;Avianova;;7 kg;;;23 kg;  ;NON;;6327188111;airjuan.com;;Moscou - Cheremetievo (SVO) ;;2009;40826;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
